Date,WTI,BRENT,DUBAI,ESPO
2013-04-12,93.36,103.25,102.16,104.38
2013-04-19,88.00,98.09,97.81,99.56
2013-04-26,91.00,100.61,100.01,101.68
2013-05-03,93.40,101.53,100.22,102.26
2013-05-10,95.84,103.77,101.28,103.04
2013-05-17,94.65,102.91,100.34,102.26
2013-05-24,94.76,102.30,99.97,102.26
2013-05-31,93.32,102.03,99.36,101.87
2013-06-07,94.25,102.92,100.75,102.50
2013-06-14,96.36,103.39,101.22,104.09
2013-06-21,96.65,103.93,100.47,104.08
2013-06-28,95.83,101.43,99.37,102.74
2013-07-05,100.65,105.18,101.32,105.57
2013-07-12,104.70,108.26,103.68,107.89
2013-07-19,106.88,109.41,104.82,108.61
2013-07-26,105.88,108.40,104.77,107.83
2013-08-02,105.54,108.61,104.95,108.49
2013-08-09,105.17,108.56,104.05,108.42
2013-08-16,106.97,110.73,106.51,111.22
2013-08-23,105.48,111.12,107.45,111.95
2013-08-30,108.33,115.32,110.71,115.26
2013-09-06,108.77,116.03,110.33,115.89
2013-09-13,108.36,113.22,109.17,114.21
2013-09-20,106.22,109.98,107.58,113.06
2013-09-27,103.10,108.80,105.86,111.77
2013-10-04,103.14,108.63,105.35,110.09
2013-10-11,102.70,110.30,107.26,111.49
2013-10-18,101.51,110.11,107.14,111.08
2013-10-25,97.57,107.82,106.54,109.16
2013-11-01,96.94,107.61,106.85,109.26
2013-11-08,94.31,104.54,103.83,106.77
2013-11-15,93.94,107.10,105.37,108.48
2013-11-22,93.92,109.32,106.29,109.42
2013-11-29,92.97,111.32,108.42,112.69
2013-12-06,96.21,112.28,108.43,114.26
2013-12-13,97.23,109.10,106.88,111.85
2013-12-20,97.85,110.34,107.36,112.45
2013-12-27,99.15,111.72,109.12,114.59
2014-01-03,96.47,108.73,106.35,111.44
2014-01-10,92.42,107.01,104.06,109.36
2014-01-17,92.98,107.83,103.29,108.08
2014-01-24,96.19,109.14,102.52,109.71
2014-01-31,97.29,108.83,103.37,109.59
2014-02-07,97.78,107.73,103.01,108.22
2014-02-14,100.21,109.12,105.33,110.08
2014-02-21,102.93,109.74,106.62,111.23
2014-02-28,102.77,109.17,106.19,111.17
2014-03-07,103.07,109.14,104.78,109.63
2014-03-14,99.55,108.01,104.14,108.50
2014-03-21,99.77,106.53,103.41,107.20
2014-03-28,100.66,106.54,104.34,107.89
2014-04-04,100.46,105.26,102.69,106.21
2014-04-11,102.72,106.51,104.22,107.71
2014-04-18,103.95,109.07,105.84,109.33
2014-04-25,102.11,109.21,106.13,109.90
2014-05-02,100.51,109.15,104.71,108.63
2014-05-09,100.29,108.48,104.20,107.91
2014-05-16,101.92,109.53,105.93,109.60
2014-05-23,103.82,110.72,106.63,110.55
2014-05-30,103.95,109.62,106.44,110.68
2014-06-06,103.23,108.98,105.14,108.68
2014-06-13,105.97,110.98,107.48,111.08
2014-06-20,107.23,114.29,110.21,113.81
2014-06-27,106.69,113.09,109.72,112.77
2014-07-04,105.52,110.26,108.28,111.20
2014-07-11,103.25,107.03,105.88,108.41
2014-07-18,102.37,105.39,104.99,106.84
2014-07-25,104.35,106.34,105.69,107.37
2014-08-01,102.19,105.71,105.00,106.89
2014-08-08,97.50,103.60,103.59,105.58
2014-08-15,97.17,101.94,101.61,103.23
2014-08-22,94.95,99.88,99.86,101.77
2014-08-29,96.25,100.64,100.75,102.64
2014-09-05,94.06,100.45,99.26,101.65
2014-09-12,92.43,97.32,96.49,98.88
2014-09-19,93.52,97.02,95.35,97.71
2014-09-26,93.15,95.01,94.27,96.47
2014-10-03,91.44,93.41,93.10,93.86
2014-10-10,87.63,90.19,89.49,90.75
2014-10-17,82.88,85.50,84.64,85.41
2014-10-24,82.12,85.58,83.58,84.82
2014-10-31,81.29,85.56,83.74,85.13
2014-11-07,78.24,83.04,79.50,82.50
2014-11-14,76.50,79.90,75.97,79.14
2014-11-21,75.38,77.62,75.22,77.16
2014-11-28,72.36,76.63,71.35,72.64
2014-12-05,67.18,69.72,67.03,69.81
2014-12-12,61.14,64.08,61.17,64.12
2014-12-19,55.89,59.77,56.67,60.35
2014-12-26,55.58,58.69,56.34,60.00
2015-01-02,53.44,56.03,52.85,56.32
2015-01-09,48.77,49.47,46.89,50.28
2015-01-16,47.07,46.58,43.47,47.06
2015-01-23,46.46,46.44,44.27,47.88
2015-01-30,45.32,46.76,45.50,49.46
2015-02-06,50.58,54.62,53.66,57.52
2015-02-13,51.14,56.57,55.81,59.13
2015-02-20,51.69,60.57,58.07,60.46
2015-02-27,49.16,60.63,57.34,61.11
2015-03-06,50.38,60.12,57.70,61.03
2015-03-13,47.69,56.51,54.27,57.58
2015-03-20,44.39,52.72,51.71,54.60
2015-03-27,48.68,55.01,54.25,57.26
2015-04-03,48.91,54.79,54.08,56.38
2015-04-10,51.78,56.51,55.74,58.39
2015-04-17,54.78,59.12,59.48,62.59
2015-04-24,56.14,61.41,60.83,63.90
2015-05-01,57.98,63.49,62.67,65.74
2015-05-08,59.73,65.01,64.99,67.68
2015-05-15,60.01,64.90,64.36,66.83
2015-05-22,58.95,64.31,62.63,65.16
2015-05-29,58.19,61.57,61.72,64.26
2015-06-05,59.66,61.90,61.74,64.24
2015-06-12,60.07,63.24,62.74,65.26
2015-06-19,59.89,60.65,61.71,64.66
2015-06-26,60.01,60.84,61.29,64.25
2015-07-03,57.92,60.36,60.35,62.51
2015-07-10,52.38,56.63,56.88,58.73
2015-07-17,51.68,57.17,56.08,57.85
2015-07-24,49.21,55.75,54.76,55.64
2015-07-31,47.91,54.14,52.56,53.13
2015-08-07,44.94,48.59,50.10,49.88
2015-08-14,43.20,47.94,49.56,49.49
2015-08-21,41.34,46.00,46.46,46.32
2015-08-28,40.73,43.53,44.90,44.55
2015-09-04,46.73,48.87,47.70,49.20
2015-09-11,45.16,47.60,45.82,47.48
2015-09-18,45.48,47.34,44.33,46.17
2015-09-25,45.57,47.33,44.31,46.76
2015-10-02,45.00,46.99,44.70,48.03
2015-10-09,48.36,51.33,48.95,53.04
2015-10-16,46.82,48.99,46.37,50.92
2015-10-23,45.16,46.81,44.14,49.12
2015-10-30,44.99,47.15,43.99,48.33
2015-11-06,45.98,47.23,44.92,48.55
2015-11-13,42.70,44.75,41.50,45.27
2015-11-20,40.62,41.54,39.36,43.29
2015-11-27,40.49,43.65,40.14,44.24
2015-12-04,40.40,42.41,39.53,43.96
2015-12-11,36.93,38.76,35.37,39.78
2015-12-18,35.78,36.84,32.32,36.86
2015-12-25,36.26,35.90,32.22,36.41
2016-01-01,36.99,36.55,32.11,36.40
2016-01-08,34.65,34.19,29.21,34.05
2016-01-15,30.59,29.10,25.53,30.06
2016-01-22,29.19,27.76,24.13,29.30
2016-01-29,31.81,31.75,28.08,33.28
2016-02-05,31.26,32.18,29.65,34.91
2016-02-12,28.14,30.41,27.06,32.01
2016-02-19,30.02,32.29,29.97,34.90
2016-02-26,31.32,33.12,29.74,35.44
2016-03-04,34.43,36.28,32.43,37.54
2016-03-11,37.69,39.30,35.59,40.33
2016-03-18,38.32,38.50,36.07,40.61
2016-03-25,39.45,39.41,36.74,41.17
2016-04-01,36.82,37.00,35.34,38.62
2016-04-08,36.72,37.51,35.82,38.66
2016-04-15,41.23,42.35,39.26,42.01
2016-04-22,41.86,43.04,40.46,42.77
2016-04-29,44.30,44.46,42.72,45.16
2016-05-06,44.22,44.20,42.36,44.17
2016-05-13,45.44,45.20,43.43,45.51
2016-05-20,47.99,48.34,45.38,48.02
2016-05-27,48.72,48.73,45.59,48.14
2016-06-03,49.00,48.91,46.02,48.48
2016-06-10,50.18,49.94,47.70,49.67
2016-06-17,47.89,47.39,45.59,47.75
2016-06-24,48.71,48.12,46.06,47.82
2016-07-01,48.17,47.09,45.58,47.40
2016-07-08,46.17,45.96,43.47,45.67
2016-07-15,45.60,45.54,42.88,44.98
2016-07-22,44.44,45.22,42.02,44.48
2016-07-29,41.83,42.55,39.94,42.75
2016-08-05,40.82,40.88,39.98,42.75
2016-08-12,43.11,43.63,42.30,45.01
2016-08-19,47.16,48.60,46.47,49.46
2016-08-26,47.05,48.65,45.79,48.58
2016-09-02,45.11,47.31,44.02,46.82
2016-09-09,45.96,47.51,44.34,47.38
2016-09-16,44.34,46.21,42.79,45.96
2016-09-23,44.59,46.24,42.87,46.20
2016-09-30,46.55,46.74,44.62,47.91
2016-10-07,49.48,49.52,48.88,51.17
2016-10-14,50.29,49.94,49.64,52.06
2016-10-21,50.56,50.33,49.41,52.06
2016-10-28,49.36,48.95,48.22,50.93
2016-11-04,45.51,44.63,43.72,47.01
2016-11-11,44.61,43.09,42.74,45.94
2016-11-18,45.15,44.01,43.27,46.45
2016-11-25,47.25,46.49,45.52,48.76
2016-12-02,48.63,48.78,48.04,51.19
2016-12-09,50.97,52.26,51.68,54.59
2016-12-16,51.91,53.26,52.22,55.13
2016-12-23,51.95,53.81,52.21,55.57
2016-12-30,53.60,54.96,53.57,57.14
2017-01-06,53.34,55.13,54.43,58.09
2017-01-13,52.07,54.02,53.16,56.45
2017-01-20,51.82,54.19,53.45,56.46
2017-01-27,52.74,54.91,53.98,57.14
2017-02-03,53.33,55.53,54.48,57.99
2017-02-10,52.88,54.48,53.94,57.71
2017-02-17,53.22,54.46,54.17,57.64
2017-02-24,54.03,55.40,54.81,57.60
2017-03-03,53.56,54.40,54.52,56.97
2017-03-10,50.50,52.78,52.44,54.87
2017-03-17,48.03,50.29,50.12,52.35
2017-03-24,47.28,50.10,49.28,51.05
2017-03-31,49.14,51.33,50.50,51.92
2017-04-07,51.26,53.28,52.91,54.29
2017-04-14,53.19,54.83,54.15,55.83
2017-04-21,51.09,52.08,52.00,53.92
2017-04-28,49.12,49.55,50.19,52.13
2017-05-05,47.21,48.70,49.17,50.67
2017-05-12,47.04,48.00,49.62,51.11
2017-05-19,49.24,51.75,51.45,52.73
2017-05-26,50.21,52.58,51.84,52.91
2017-06-02,48.48,50.23,49.55,50.48
2017-06-09,46.57,47.28,47.38,48.43
2017-06-16,45.30,46.18,46.19,47.27
2017-06-23,43.09,44.63,44.42,45.45
2017-06-30,44.63,46.16,46.18,47.47
2017-07-07,44.96,48.17,47.01,48.42
2017-07-14,45.51,47.10,46.58,48.08
2017-07-21,46.41,47.99,47.51,49.08
2017-07-28,48.27,49.95,49.15,51.10
2017-08-04,49.52,52.04,50.71,52.79
2017-08-11,49.08,51.96,50.78,53.04
2017-08-18,47.52,50.58,49.48,51.93
2017-08-25,47.68,52.03,50.31,53.00
2017-09-01,46.68,52.25,50.01,52.66
2017-09-08,48.58,53.88,52.31,54.85
2017-09-15,49.07,55.54,53.30,55.92
2017-09-22,50.12,57.03,54.40,56.63
2017-09-29,51.77,58.75,55.52,57.82
2017-10-06,50.23,56.08,54.35,56.37
2017-10-13,50.77,56.21,55.05,57.11
2017-10-20,51.74,57.78,55.69,58.20
2017-10-27,52.51,58.58,56.59,59.67
2017-11-03,54.59,61.04,59.19,61.90
2017-11-10,57.05,64.29,61.87,64.58
2017-11-17,55.81,61.52,60.36,63.28
2017-11-24,57.47,62.68,61.14,64.16
2017-12-01,57.81,63.73,60.94,64.10
2017-12-08,56.92,63.08,60.26,63.58
2017-12-15,57.17,64.35,61.30,64.61
2017-12-22,57.87,64.36,61.85,65.47
2017-12-29,59.88,66.52,63.67,67.56
2018-01-05,61.36,67.81,64.82,68.79
2018-01-12,63.26,69.47,66.34,70.43
2018-01-19,63.77,69.39,66.34,70.75
2018-01-26,65.14,70.04,67.23,71.91
2018-02-02,65.32,68.00,66.05,70.45
2018-02-09,62.01,65.50,62.39,66.62
2018-02-16,60.56,62.72,60.63,64.84
2018-02-23,62.47,65.52,62.30,66.26
2018-03-02,62.07,66.02,62.03,65.95
2018-03-09,61.65,65.12,61.24,65.12
2018-03-16,61.28,64.14,61.61,65.23
2018-03-23,64.11,67.40,64.68,68.11
2018-03-30,64.97,68.65,65.81,69.07
2018-04-06,63.07,67.03,65.06,67.58
2018-04-13,66.02,71.24,67.97,70.57
2018-04-20,67.55,73.39,69.67,72.45
2018-04-27,67.91,74.98,70.59,73.47
2018-05-04,68.38,74.42,70.99,73.66
2018-05-11,70.56,76.68,73.80,76.75
2018-05-18,71.30,78.75,76.11,78.73
2018-05-25,70.98,78.59,75.96,78.28
2018-06-01,66.96,75.35,74.60,76.97
2018-06-08,65.35,73.98,74.00,75.79
2018-06-15,66.21,74.26,73.34,75.02
2018-06-22,66.32,74.12,72.07,73.78
2018-06-29,74.03,75.24,74.77,76.64
2018-07-06,73.73,76.33,74.73,76.86
2018-07-13,71.96,75.29,73.55,75.70
2018-07-20,68.95,71.27,70.66,72.66
2018-07-27,70.01,74.00,72.86,74.64
2018-08-03,69.46,73.37,72.20,73.86
2018-08-10,67.90,71.42,71.79,73.25
2018-08-17,66.15,69.82,70.78,72.77
2018-08-24,68.10,72.77,73.11,75.68
2018-08-31,69.66,76.08,75.37,78.62
2018-09-07,68.51,76.64,75.68,78.60
2018-09-14,68.96,78.11,76.68,79.66
2018-09-21,70.28,78.97,77.20,80.89
2018-09-28,72.84,81.85,80.59,85.11
2018-10-05,75.13,85.44,83.90,88.21
2018-10-12,72.96,83.05,82.15,85.26
2018-10-19,70.24,80.41,79.46,82.69
2018-10-26,67.43,78.23,77.04,79.83
2018-11-02,65.06,74.09,74.59,78.40
2018-11-09,61.57,70.34,71.01,73.47
2018-11-16,56.92,66.21,67.01,68.51
2018-11-23,54.99,61.22,62.16,64.23
2018-11-30,51.01,58.65,59.30,62.04
2018-12-07,52.63,60.47,59.92,61.76
2018-12-14,51.54,59.51,59.00,61.11
2018-12-21,46.98,54.64,55.27,57.51
2018-12-28,45.22,51.03,52.02,54.75
2019-01-04,47.00,54.31,54.48,57.41
2019-01-11,50.78,58.64,58.93,61.76
2019-01-18,51.92,59.83,60.48,63.15
2019-01-25,52.88,61.34,61.02,63.71
2019-02-01,53.63,61.38,61.29,63.77
2019-02-08,53.53,61.71,62.19,64.02
2019-02-15,53.88,63.36,64.68,66.44
2019-02-22,56.74,66.58,66.97,69.02
2019-03-01,56.12,64.56,65.70,67.68
2019-03-08,56.35,64.73,66.32,67.91
2019-03-15,57.81,65.71,67.60,69.03
2019-03-22,59.44,67.34,67.66,69.42
2019-03-29,59.49,67.25,67.40,69.30
2019-04-05,62.36,69.54,69.39,71.00
2019-04-12,64.10,71.33,70.50,72.33
2019-04-19,63.80,70.87,71.69,73.88
2019-04-26,65.28,72.93,73.48,75.70
2019-05-03,62.90,71.59,70.72,72.80
2019-05-10,61.81,71.25,70.10,72.02
2019-05-17,62.10,73.32,71.26,73.42
2019-05-24,60.72,70.89,69.27,71.56
2019-05-31,56.93,69.29,65.44,67.95
2019-06-07,52.97,63.15,60.81,63.13
2019-06-14,52.52,63.19,60.56,62.64
2019-06-21,54.75,64.04,62.53,64.43
2019-06-28,58.38,66.51,64.50,66.80
2019-07-05,57.32,63.84,62.30,64.96
2019-07-12,59.02,65.98,64.87,67.25
2019-07-19,56.74,63.63,62.98,65.93
2019-07-26,56.05,62.80,62.88,67.00
2019-08-02,56.55,62.59,62.37,66.40
2019-08-09,53.28,57.33,58.01,62.01
2019-08-16,55.31,58.25,58.57,62.65
2019-08-23,55.50,59.57,59.71,63.65
2019-08-30,55.21,59.83,58.82,63.10
2019-09-06,55.73,60.23,58.30,62.26
2019-09-13,56.16,62.74,60.82,64.64
2019-09-20,59.33,65.56,64.60,68.30
2019-09-27,56.90,63.15,62.11,66.06
2019-10-04,53.12,59.22,58.40,62.34
2019-10-11,53.27,59.39,58.97,63.09
2019-10-18,53.49,59.32,59.41,64.58
2019-10-25,55.20,60.75,60.43,65.87
2019-11-01,55.17,60.23,60.67,65.22
2019-11-08,56.69,62.39,61.41,65.80
2019-11-15,56.85,62.56,62.34,67.03
2019-11-22,56.90,63.76,62.34,66.60
2019-11-29,58.07,64.74,63.15,66.66
2019-12-06,57.64,64.71,62.42,65.90
2019-12-13,59.25,66.50,64.48,68.08
2019-12-20,60.75,68.90,66.43,70.97
2019-12-27,61.29,68.73,67.58,72.99
2020-01-03,62.09,68.07,67.71,73.49
2020-01-10,60.84,67.93,67.20,72.76
2020-01-17,58.29,64.11,64.97,69.99
2020-01-24,56.15,62.20,63.53,67.25
2020-01-31,52.70,58.57,58.01,61.53
2020-02-07,50.36,54.59,54.26,58.45
2020-02-14,50.83,55.33,54.76,57.90
2020-02-21,53.14,58.61,56.02,58.54
2020-02-28,48.36,54.09,51.49,53.91
2020-03-06,45.57,50.70,47.06,49.37
2020-03-13,32.39,33.72,33.46,36.18
2020-03-20,24.19,25.65,27.81,32.67
2020-03-27,19.44,23.96,25.66,30.98
2020-04-03,21.69,18.72,23.24,29.88
2020-04-10,24.41,22.53,23.78,31.29
2020-04-17,20.12,20.00,20.66,27.73
2020-04-24,3.32,14.24,16.43,21.26